Date,Total_cases,Daily_cases,3_day _moving_average_cases,7_day_moving_average_cases,Currently_Infected,Total_Deaths,Daily_Deaths,3_day_moving_average_deaths,3_day_moving_average_deaths
4/16/2020,4161,397,353,324,3859,116,8,7,8
4/17/2020,4662,501,430,351,4291,125,9,9,8
4/18/2020,5106,444,447,371,4698,133,8,9,9
4/19/2020,5449,343,429,382,4961,141,8,8,8
4/20/2020,5710,261,350,372,5200,151,10,9,9
4/21/2020,6125,415,339,394,5597,161,10,9,9
4/22/2020,6592,467,381,404,5994,174,13,11,9
4/23/2020,7170,578,487,430,6479,187,13,12,10
4/24/2020,7647,477,507,426,6853,193,6,11,10
4/25/2020,8125,478,511,431,7142,201,8,9,10
4/26/2020,8617,492,483,453,7568,209,8,7,9
4/27/2020,9009,392,454,471,7925,220,11,9,10
4/28/2020,9410,401,428,469,8179,239,19,13,11
4/29/2020,9866,456,416,468,8513,250,11,13,11
4/30/2020,10406,540,466,462,8907,261,11,14,11
5/1/2020,10861,455,484,460,9176,272,11,11,11
5/2/2020,11411,550,515,469,9634,279,7,10,11
5/3/2020,11913,502,502,471,10077,288,9,9,11
5/4/2020,12331,418,490,474,10409,303,15,10,12
5/5/2020,12697,366,429,470,10506,316,13,12,11
5/6/2020,13184,487,423,474,10760,327,11,13,11
5/7/2020,13691,507,454,469,10955,340,13,13,12
5/8/2020,14195,504,499,477,11128,361,21,15,12
5/9/2020,14710,515,509,471,11425,376,15,16,14
5/10/2020,15232,522,513,474,11781,391,15,17,15
5/11/2020,15648,416,485,474,11952,408,17,16,15
5/12/2020,16023,375,437,475,12225,425,17,16,15
5/13/2020,16425,402,398,463,12270,439,14,16,16
5/14/2020,16847,422,400,451,12248,456,17,16,17
5/15/2020,17330,483,435,448,12381,476,20,17,16
5/16/2020,17858,528,478,449,12455,497,21,19,18
5/17/2020,18291,433,481,437,12661,514,17,20,17
5/18/2020,18616,325,429,424,12805,535,21,19,18
5/19/2020,18876,260,339,408,12696,548,13,17,18
5/20/2020,19230,354,313,401,12711,564,16,17,18
5/21/2020,19706,476,364,408,12900,579,15,15,17
5/22/2020,20148,442,424,403,12975,588,9,13,16
5/23/2020,20580,432,450,389,13046,605,17,14,16
5/24/2020,20986,406,426,385,13261,617,12,12,15
5/25/2020,21245,259,366,375,13388,623,6,12,12
5/26/2020,21584,339,335,387,13365,644,21,13,14
5/27/2020,21905,321,306,382,13252,658,14,14,13
5/28/2020,22382,477,379,382,13274,669,11,15,13
5/29/2020,22811,429,409,381,13198,679,10,12,13
5/30/2020,23204,393,433,375,13197,696,17,12,13
5/31/2020,23672,468,430,383,13426,708,12,13,13
6/1/2020,24012,340,400,396,13604,718,10,13,14
6/2/2020,24340,328,379,393,13535,727,9,11,12
6/3/2020,24823,483,384,417,13648,735,8,9,11
6/4/2020,25411,588,466,433,13622,747,12,9,11
6/5/2020,25964,553,541,450,13830,762,15,12,12
6/6/2020,26514,550,564,473,13925,777,15,14,11
6/7/2020,26999,485,529,476,14157,788,11,14,12
6/8/2020,27462,463,500,492,14470,797,9,11,11
6/9/2020,27856,394,447,503,14634,810,13,11,12
6/10/2020,28381,525,461,508,14779,833,23,15,14
6/11/2020,29070,689,536,523,15075,854,21,19,15
6/12/2020,29753,683,632,541,15316,870,16,20,15
6/13/2020,30506,753,708,570,15650,880,10,16,15
6/14/2020,31154,648,695,594,16183,889,9,12,15
6/15/2020,31810,656,686,621,16656,901,12,10,14
6/16/2020,32476,666,656,660,17036,912,11,11,15
6/17/2020,33234,758,694,693,17348,943,31,18,16
6/18/2020,34063,829,751,714,17650,966,23,21,16
6/19/2020,34984,921,836,747,17966,985,19,25,16
6/20/2020,35825,841,863,760,18425,994,9,17,16
6/21/2020,36560,735,833,772,19049,1002,8,12,17
6/22/2020,37241,681,752,776,19587,1012,10,9,15
6/23/2020,38074,833,750,800,20083,1035,23,13,18
6/24/2020,39014,940,818,825,20554,1051,16,17,15
6/25/2020,40008,994,922,850,21183,1067,16,18,15
6/26/2020,41117,1109,1014,876,21732,1086,19,17,14
6/27/2020,42065,948,1017,891,22254,1110,24,20,17
6/28/2020,42982,917,992,918,22919,1129,19,20,18
6/29/2020,43628,646,837,912,23454,1147,18,21,19
6/30/2020,44334,706,756,894,24060,1159,12,16,18
7/1/2020,44998,664,672,855,24277,1173,14,15,17
7/2/2020,45887,889,753,840,24649,1185,12,12,17
7/3/2020,46763,876,810,807,24993,1212,27,18,18
7/4/2020,47677,914,893,801,25335,1227,15,18,17
7/5/2020,48500,823,871,789,25875,1249,22,21,17
7/6/2020,49043,543,760,773,26078,1262,13,17,17
7/7/2020,49607,564,643,753,26131,1283,21,19,17
7/8/2020,50414,807,638,774,25989,1306,23,19,19
7/9/2020,51224,810,727,763,26113,1327,21,21,21
7/10/2020,52043,819,812,754,25898,1345,18,21,19
7/11/2020,52843,800,810,738,25810,1372,27,22,20
7/12/2020,53521,678,765,717,26020,1383,11,19,19
7/13/2020,54133,612,697,727,26232,1398,15,17,20
7/14/2020,54771,638,643,738,26205,1412,14,14,18
7/15/2020,55607,836,695,742,26049,1427,15,14,18
7/16/2020,56455,848,774,747,26079,1445,18,16,16
7/17/2020,57264,809,831,746,26039,1456,11,15,16
7/18/2020,58111,847,835,753,26109,1477,21,16,15
7/19/2020,58842,731,795,760,26478,1485,8,14,15
7/20/2020,59493,651,743,765,26556,1498,13,14,14
7/21/2020,60166,673,685,771,26449,1518,20,13,15
7/22/2020,60995,829,718,770,26289,1534,16,17,16
7/23/2020,61851,856,786,771,26300,1551,17,17,15
7/24/2020,62823,972,886,794,26366,1571,20,18,16
7/25/2020,63929,1106,978,831,26842,1590,19,19,16
7/26/2020,64849,920,999,858,27437,1605,15,18,17
7/27/2020,65656,807,944,881,27928,1616,11,15,17
7/28/2020,66575,919,882,915,28202,1629,13,13,16
7/29/2020,67597,1022,916,943,28553,1650,21,15,17
7/30/2020,68794,1197,1046,992,28967,1673,23,19,17
7/31/2020,69884,1090,1103,1009,29439,1693,20,21,18
8/1/2020,71056,1172,1153,1018,30039,1709,16,20,17
8/2/2020,72168,1112,1125,1046,30900,1725,16,17,17
8/3/2020,73158,990,1091,1071,31544,1738,13,15,17
8/4/2020,74219,1061,1055,1092,31842,1764,26,18,19
8/5/2020,75490,1271,1107,1128,32175,1788,24,21,20
8/6/2020,76808,1318,1217,1145,32465,1819,31,27,21
8/7/2020,78261,1453,1347,1196,33354,1852,33,30,23
8/8/2020,79750,1489,1420,1242,34216,1879,27,30,24
8/9/2020,80949,1199,1380,1255,35080,1897,18,26,25
8/10/2020,81957,1008,1232,1257,35676,1922,25,23,26
8/11/2020,83115,1158,1122,1271,36230,1951,29,24,27
8/12/2020,84548,1433,1200,1294,36892,1970,19,25,26
8/13/2020,86140,1592,1394,1333,37932,1992,22,23,24
8/14/2020,87872,1732,1586,1373,39064,2011,19,20,23
8/15/2020,89719,1847,1723,1424,40245,2044,33,25,24
8/16/2020,91356,1637,1739,1487,41464,2070,26,26,24
8/17/2020,92820,1464,1649,1552,42567,2089,19,26,24
8/18/2020,94436,1616,1573,1617,43395,2116,27,24,24
8/19/2020,96403,1967,1682,1693,44522,2144,28,24,25
8/20/2020,98537,2134,1906,1771,45912,2184,40,32,27
8/21/2020,100643,2106,2069,1825,47358,2207,23,30,28
8/22/2020,102971,2328,2189,1893,48992,2244,37,34,29
8/23/2020,104955,1984,2139,1943,50449,2271,27,29,28
8/24/2020,106757,1802,2038,1991,49940,2293,22,28,29
8/25/2020,108415,1658,1815,1997,53227,2318,25,25,29
8/26/2020,110085,1670,1710,1954,54277,2354,36,28,30
8/27/2020,112059,1974,1767,1932,55439,2403,49,36,32
8/28/2020,114497,2438,2028,1979,56963,2451,48,45,34
8/29/2020,116978,2481,2297,2001,58348,2492,41,46,36
8/30/2020,119074,2096,2339,2017,59813,2527,35,41,36
8/31/2020,121215,2141,2239,2066,61544,2557,30,35,38
9/1/2020,123294,2079,2105,2125,62887,2605,48,38,41
9/2/2020,125798,2504,2242,2245,64325,2656,51,43,43
9/3/2020,128228,2430,2337,2310,65842,2710,54,51,44
9/4/2020,130951,2723,2553,2350,67577,2761,51,52,44
9/5/2020,133787,2836,2663,2402,69327,2811,50,52,46
9/6/2020,135894,2107,2555,2402,70821,2846,35,45,46
9/7/2020,138068,2174,2372,2408,72585,2877,31,39,45
9/8/2020,140479,2411,2231,2455,73999,2934,57,41,47
9/9/2020,143030,2551,2379,2462,75348,2979,45,44,46
9/10/2020,145612,2582,2514,2483,76712,3023,44,49,45
9/11/2020,148756,3144,2759,2544,78675,3076,53,47,45
9/12/2020,151859,3103,2943,2581,80365,3148,72,56,48
9/13/2020,154335,2476,2908,2635,82264,3178,30,52,48
9/14/2020,156797,2462,2680,2675,84043,3211,33,45,47
9/15/2020,159702,2905,2615,2747,85628,3264,53,39,48
9/16/2020,162660,2958,2775,2804,86996,3340,76,54,51
9/17/2020,166244,3584,3149,2947,88931,3400,60,63,54
